SCC,SCV,DVV,ICP,CCDT,CVCT,ACCV C,ACCV D,ECD,ECV,CCD,CCV,SoH
-0.035723,0.015467,0.361468,3.910486,20.016773,10.833398,3.447181,2.742928,179.542200,6.399153,1.079786,0.031930,0.981670
-0.038211,0.015385,0.272949,2.937500,20.007692,10.750167,3.449626,2.738560,179.802364,6.332556,1.081051,0.031500,0.982732
-0.037122,0.015570,0.318990,3.105844,20.007998,10.666700,3.451178,2.735302,179.938170,6.180284,1.081890,0.030733,0.983425
-0.037422,0.014522,0.342589,2.990023,20.007893,10.583410,3.446863,2.752654,180.035633,5.959126,1.082350,0.029732,0.983878
-0.038580,0.014204,0.282943,4.942820,20.007933,10.583480,3.445085,2.741427,180.138087,6.054185,1.082743,0.030054,0.984169
-0.037817,0.014559,0.317692,2.803324,20.008357,10.499975,3.445981,2.736491,180.169890,5.793556,1.083005,0.028930,0.984449
-0.038888,0.014475,0.323856,3.303697,20.008665,10.500128,3.448406,2.755897,180.215911,5.840546,1.083303,0.029107,0.984682
-0.036888,0.014625,0.265870,3.996068,20.008685,10.500067,3.447447,2.751756,180.259296,5.903656,1.083506,0.029311,0.984894
-0.040470,0.014942,0.340380,3.229141,20.008838,10.500150,3.447623,2.734561,180.295217,5.936403,1.083689,0.029482,0.985049
-0.040891,0.014761,0.298196,3.432248,20.008880,10.500055,3.447529,2.751501,180.335639,5.955257,1.083840,0.029558,0.985120
-0.037613,0.014521,0.312228,4.226259,20.008850,10.416772,3.445190,2.748719,180.349902,5.682540,1.083967,0.028320,0.985295
-0.037868,0.014195,0.302691,3.227500,20.008957,10.416757,3.444875,2.749852,180.347902,5.705685,1.084055,0.028395,0.985383
-0.037532,0.014234,0.317399,2.995649,20.008742,10.416775,3.445021,2.758751,180.356534,5.718447,1.084126,0.028442,0.985470
-0.038822,0.014150,0.300576,3.023707,20.008907,10.416628,3.445298,2.752544,180.340486,5.712295,1.084171,0.028399,0.985423
-0.038791,0.014798,0.331795,3.338401,20.009092,10.416812,3.446127,2.745417,180.330673,5.738253,1.084285,0.028479,0.985507
-0.041750,0.014591,0.286164,3.987974,20.009238,10.416683,3.447780,2.743188,180.340061,5.762256,1.084303,0.028563,0.985590
-0.037559,0.014684,0.303344,3.582571,20.009375,10.416740,3.447667,2.742564,180.354169,5.770720,1.084416,0.028616,0.985649
-0.038575,0.014135,0.304616,4.094474,20.009478,10.416745,3.445885,2.742572,180.342266,5.778455,1.084465,0.028681,0.985720
-0.040102,0.014527,0.321215,4.928241,20.009623,10.416680,3.445159,2.744244,180.339434,5.777761,1.084474,0.028678,0.985703
-0.038395,0.014593,0.305602,3.194537,20.009815,10.333400,3.446443,2.740754,180.337366,5.486776,1.084512,0.027315,0.985737
-0.038472,0.014149,0.311740,3.395645,20.009542,10.333465,3.444100,2.743812,180.322602,5.488245,1.084569,0.027361,0.985797
-0.038993,0.014149,0.298246,2.980472,20.009532,10.333227,3.445314,2.754181,180.338366,5.496394,1.084647,0.027376,0.985832
-0.041371,0.013878,0.318495,2.984319,20.009427,10.333545,3.445052,2.741823,180.301156,5.508021,1.084641,0.027418,0.985874
-0.038699,0.014958,0.314785,3.467249,20.009760,10.333257,3.447160,2.742097,180.291858,5.500078,1.084644,0.027381,0.985834
-0.035464,0.014061,0.323349,3.192329,20.009642,10.333340,3.442948,2.738589,180.260846,5.488770,1.084596,0.027320,0.985793
-0.036971,0.014506,0.314883,3.399533,20.009647,10.333487,3.448198,2.730429,180.262204,5.505260,1.084658,0.027372,0.985859
