Cycle,SCC,SCV,DVV,ICP,CCDT,ACCV_C,ACCV_D,CVCT,ECD,CCD,ECV,CCV,SoH
1,-5.988440083590501e-07,1.18365315261637e-08,-5.041580456853846,7.990667478188039,2842.2961,3.866841381203895,4.024700253908477,6848.485699999999,3.902644825284373,0.9696645835065278,5.870435714721681,1.397722005844116,0.9884183431409074
2,8.28107805738057e-05,4.258654799185742e-08,-4.825618266629742,8.026049657223956,2841.4134,3.780233497982898,4.024849441409573,5923.158100000001,3.902776718139698,0.969665085664019,2.70750617980957,0.6768758296966548,0.9884276832501919
3,7.841205648974278e-05,3.457640300275952e-08,-4.551550976036796,8.316746689975384,2844.2476,3.780090600247675,4.024941774295906,6254.1396,3.902881622314503,0.9696624227217395,2.732906341552734,0.6832258701324458,0.9884151969988332
4,8.454580662700308e-05,-1.391664481509907e-08,-3.656688534354359,8.054059797655903,2843.8798,3.779705729641896,4.025389444639478,6064.6929,3.903297424316399,0.9696644218638535,2.727775573730469,0.6819419860839839,0.9884296495889877
5,7.482886868546321e-05,-2.947793276817895e-09,-4.471008633036558,8.216910063390085,2842.9136,3.779362719701093,4.024880866293498,6146.9073,3.902809143066506,0.9696647751843553,2.713661193847656,0.6784155368804932,0.9884314192939053
6,8.98607110151284e-05,-7.78047263679588e-09,-4.633213080326231,8.325879578823908,2846.7746,3.779327365008876,4.025013199934129,5914.1376,3.902938842773395,0.969664185860893,2.720024108886804,0.680004119873046,0.9884266017638537
7,7.685171096126147e-05,3.070816018510933e-08,-4.325823147921451,7.778721407123125,2843.4933,3.778864838783498,4.02528095706276,6024.8747,3.903205871582003,0.9696644723881039,2.721969604492216,0.680492639541626,0.9884355486053775
8,8.414348450993927e-05,-3.176429837468448e-09,-4.052928047797585,8.346643257563034,2846.7428,3.778505254011826,4.024839154622528,6004.6931,3.902763366699006,0.9696627811645158,2.707275390625,0.6768190860748291,0.9884384981135733
9,7.578604799915016e-05,1.236327229268414e-08,-3.989530960695648,7.761004174478098,2845.0393,3.77850309107207,4.024786476256515,5901.0336,3.902740478515994,0.9696645484364129,2.706344604492188,0.6765856742858882,0.988425225326695
10,8.185965590462669e-05,1.315827683069285e-08,-4.705298308069339,8.059791026961015,2844.0991,3.778276498715095,4.025097229743792,6015.602900000001,3.903045654296989,0.9696668474061884,2.719299316406193,0.6798253059387198,0.9884175566053878
11,8.84635624329488e-05,-5.565622209988637e-08,-4.850733249825113,8.32605960679603,2843.0115,3.777805995190519,4.024687254491716,6048.686400000001,3.902633666993012,0.9696608773665506,2.712799072265597,0.6782007217407222,0.9884152953157711
12,7.476348158255476e-05,-1.09566024471627e-08,-3.895549566759212,8.24992439382569,2842.4451,3.778239259095616,4.024642342337408,6005.8333,3.902587890625,0.969666355114896,2.6953125,0.6738262176513672,0.9884206044305237
13,7.997563266383281e-05,1.309681050414406e-08,-3.838619644533136,8.42502493535196,2843.4078,3.777748582331972,4.024938077122131,6043.8355,3.902877807617017,0.9696654571744147,2.715972900390625,0.6789934635162349,0.9884108710534806
14,8.006366595901655e-05,-1.57357977408985e-08,-4.436980713674172,7.812069793488623,2843.1326,3.777222926521541,4.024627051328314,5969.631899999999,3.902572631835994,0.9696647660457531,2.709655761718693,0.6774146556854239,0.9884130340261568
15,8.891413214489966e-05,-6.552101131582821e-09,-5.089258627513708,8.244955088643557,2842.88,3.777557065003021,4.024620775432023,5967.650100000001,3.902557373047017,0.9696662634087256,2.698120117187386,0.6745305061340332,0.9884123458075773
16,8.372227257119266e-05,-3.462750169071086e-08,-4.41512420074078,7.91970932848179,2843.4703,3.777274627275816,4.024997944823468,6031.468199999999,3.902923583984034,0.9696639940375458,2.712615966796875,0.6781525611877441,0.9884187364086662
17,7.919717639870758e-05,5.200865689513056e-08,-4.624385405743626,8.071319160403533,2845.2654,3.776750995000451,4.02477804426147,5886.125,3.902740478516023,0.9696657985041383,2.70269775390625,0.6756689548492432,0.9884246354250558
18,7.617350684878408e-05,1.978703389779297e-08,-4.38353026379846,7.812499683112033,2843.7261,3.777154687410421,4.024716567825559,5976.4195,3.902618408203011,0.9696632142004092,2.688720703125,0.6721796989440909,0.9884258152283341
19,8.431441333459716e-05,1.69494599566415e-08,-4.631344440681673,8.100478199983092,2843.8376,3.776844940375333,4.02513224739182,5964.171,3.903045654297046,0.9696638565801551,2.708099365234318,0.6770291328430171,0.9884290596873485
20,8.228431324269533e-05,3.486698063471815e-09,-4.38047142893768,8.441779212866775,2842.3271,3.776383345700087,4.024686781079122,6017.3937,3.902648925780966,0.9696639688627327,2.7044677734375,0.6761209964752188,0.9884174582884475
21,8.165280171412233e-05,-1.104654155892914e-08,-4.704604014042699,8.061217421163198,2844.5406,3.776668958225332,4.024664360037674,5956.9348,3.902618408203011,0.9696656602027361,2.69036865234375,0.672589778900146,0.9884162784851711
22,8.399614266683954e-05,2.342600353438007e-09,-4.534463279732661,8.031859610321881,2840.6796,3.776468054408811,4.024982183269847,5902.960599999999,3.902923583985,0.969664131989703,2.699188232421818,0.674798727035522,0.9884240455234166
23,9.009582035119316e-05,-2.118468408981338e-08,-4.371276232748788,7.73154140825691,2842.7226,3.775968523271956,4.024753740819698,5987.2823,3.90267944336,0.969665789714782,2.7030029296875,0.6757428646087642,0.9884213909660413
24,8.25701348088511e-05,-1.267131121189585e-08,-4.495932660327194,8.014311937735073,2842.964,3.776330180800022,4.024732812547483,5870.4735,3.902648925781989,0.9696633066923824,2.681121826171932,0.6702799797058101,0.9884320091955443
25,8.415498973097527e-05,-3.603391159034692e-08,-4.868163086841106,7.911830957516187,2843.8877,3.77656537395255,4.025133425405867,5987.937599999999,3.903045654296989,0.9696628828532996,2.700958251953125,0.6752369403839111,0.9884263068130331
