Battery,Cycle,SCC,SCV,DVV,ICP,CCDT,ACCV_C,ACCV_D,CVCT,ECD,CCD,ECV,CCV,SoH
B0007,1,-0.000208225791339862,0.000190071730810874,0.337869870095176,2.71039173221423,3376.89,4.14021894696817,3.53417130744133,6090.922,6.56420521880008,1.86658475387018,2.20430037196355,0.523617903805949,1.0
B0007,2,-0.000178986086867574,0.000156462017195555,0.177305467078085,5.50754008269469,3378.906,3.92439203255771,3.53244787016881,6418.969,6.5633757171483,1.86771163078161,2.28052549666449,0.541668572155634,0.994492342845665
B0007,3,-0.00018317401832718,0.000141341637638651,0.178267029668063,5.27318251681464,3378.672,3.93621305335085,3.53156443860235,6334.188,6.56223594975881,1.86792288431064,2.26643886065223,0.538297109653263,0.994505903556991
B0007,4,-0.000186955416534518,0.000154307318114349,0.180639563555545,5.30758626175329,3378.813,3.91996636422847,3.52863926388691,6225.343,6.55516694500083,1.86761063061646,2.26199086573112,0.537248501104884,0.994563135862234
B0007,5,-0.000182792997922806,0.000147901176268574,0.185564461245036,5.14695416759252,3376.828,3.91690734545809,3.52725771127647,6342.657,6.54679047439071,1.86600935066286,2.26709278833687,0.53846721971876,0.993865096914265
B0007,6,-0.000187077991720295,0.000157809015960184,0.187841608459408,5.17971863344131,3278.796,3.9049567046672,3.57361196825473,6220.312,6.4500976451287,1.812569511977,2.25944698771709,0.536628217282311,0.994525828976659
B0007,7,-0.000188022649680336,0.000143582143044155,0.188523077957768,5.17145848946853,3277.703,3.92485436032939,3.57480357859936,6115.593,6.44771048327827,1.81130232015492,2.20682054173473,0.52413757279699,0.9941212397662
B0007,8,-0.000184794110536641,0.000158211000328393,0.184618723706464,5.21203811699008,3280.766,3.89717884350485,3.57513647592834,6219.266,6.45515023267604,1.81325687677705,2.21108232105688,0.525151778364228,0.994953347926881
B0007,9,-0.000189552606540407,0.00016414720286756,0.18158541018876,5.229366819303,3278.985,3.90009543452298,3.57446203217869,6122.031,6.45057814866045,1.81236783769945,2.22172817224997,0.527664937856954,0.988703903956397
B0007,10,-0.00018840386389429,0.000145325875191467,0.185401710570737,5.20288164565392,3279.828,3.91520690339261,3.57352971829381,6128.546,6.44979445394364,1.81268342513209,2.20690961071113,0.524147236391514,0.988895116595784
B0007,11,-0.000189035256017486,0.000167588547415592,0.189690445405049,5.02733048815105,3279.187,3.89113259570569,3.57217110688699,6107.359,6.44627638332293,1.81232443062617,2.20774120294863,0.524360925633562,0.988890811733163
B0007,12,-0.000191595574787081,0.000145475255673462,0.179995540676686,5.22664399694448,3280.015,3.91735626509291,3.56905298722015,6036.265,6.44339181584782,1.8133743421687,2.19647361629259,0.521669352546165,0.983395278549047
B0007,13,-0.000198178610114036,0.000119798984835138,0.202719701178495,4.7432172430141,3279.734,3.95488388700129,3.57028674017651,5970.906,6.44350668187872,1.81273525072984,2.20764199037617,0.524338943773418,0.983090029089882
