Battery,Cycle,SCC,SCV,DVV,ICP,CCDT,ACCV_C,ACCV_D,CVCT,ECD,CCD,ECV,CCV,SoH
B0005,1,-0.000194186283651859,0.000204242011559727,0.352458428066854,2.74690075637292,3178.234,4.1389568624708,3.56171305175084,6486.547,6.30207662455115,1.77665502104551,2.16022085227579,0.513535166214853,1.0
B0005,2,-0.000166160025891075,0.000141343061001804,0.183259634012685,5.27395915837256,3179.641,3.93793363135202,3.56493310783239,6851.671,6.30977493425674,1.77731579343872,2.23970181369592,0.532229478862567,0.994527207141672
B0005,3,-0.000172588016468035,0.000139140809925638,0.179484916443116,5.24071681588778,3179.875,3.93771282596724,3.5641755926957,6663.203,6.30928034815442,1.77764112167891,2.22075672167391,0.52772165542598,0.98861385950817
B0005,4,-0.000170022199600161,0.000136864545628687,0.190180010025941,5.13237669242164,3180.0,3.94003800967134,3.56426391850714,6657.969,6.30865935475933,1.77748504151917,2.18396972805022,0.518975095385626,0.988567176379414
B0005,5,-0.000177840833276156,0.000137770341980206,0.178609818688187,5.13518034383452,3178.188,3.93820997597258,3.56401032190261,6458.641,6.30561196203553,1.7767786396222,2.17339265000555,0.516439487831146,0.988234817881775
B0005,6,-0.000170441870547305,0.000138590200642343,0.188876650639514,5.08987541713541,3179.687,3.93687259299404,3.56528543481159,6652.953,6.31040665358648,1.7775617570669,2.17669141818318,0.517228201038064,0.988782169748593
B0005,7,-0.000178528719197825,0.000139074186652548,0.190107113840924,5.10826584631473,3178.844,3.93554086039722,3.5661340508027,6439.547,6.31114422938155,1.77736777898136,2.16363930594003,0.514134431076073,0.988504485591346
B0005,8,-0.000175227947242738,0.000139828273103975,0.183293800936141,5.13161139808393,3181.797,3.93364504986277,3.56576598584158,6544.641,6.31576795702633,1.7789120303198,2.17172440339007,0.516065643164076,0.983446895515151
B0005,9,-0.000180504130360694,0.000137217396691375,0.167305691826357,5.20881409683749,3180.125,3.93745433146866,3.56421487975042,6340.95299999999,6.31074379286228,1.77831753564076,2.13154493298019,0.506465269391433,0.982917434573807
B0005,10,-0.000175149147422334,0.0001383663293312,0.184161654952817,5.22079247668627,3180.609,3.93651174196809,3.56305427744328,6452.75,6.30724077476193,1.77799272243683,2.12582288777047,0.505109442150921,0.9828309354732
B0005,11,-0.000179904668553951,0.000139161546827782,0.189095723898589,5.04233814074031,3180.421,3.93584539942649,3.5605090229796,6326.532,6.30210608049026,1.77789343199764,2.12539667924216,0.505021113807866,0.982834320462206
B0005,12,-0.000178492912822284,0.00014032207771011,0.190579166929723,5.04768212979309,3180.703,3.93435565585052,3.55969984990167,6358.094,6.30077341672051,1.7780228995947,2.12349628088778,0.504569721812222,0.977222853989425
B0005,13,-0.000181641567525095,0.000120452326198374,0.197987784796879,4.85259889524271,3180.719,3.96733052459,3.55634858849718,6260.282,6.29463166129212,1.77809970530311,2.09671477368869,0.498206308914805,0.976980580323875
B0005,14,-0.000187492942145,0.000137950065143288,0.187485190403692,5.16104414419273,3180.296,3.93814330115966,3.55361493343847,6278.125,6.28998232813467,1.778207717784,2.17621093550902,0.517125477250974,0.976812700769279
B0005,15,-0.000180897616156199,0.000139447594125331,0.188739664124853,5.04463037825336,3082.391,3.93392123258116,3.58270395984765,6224.141,6.14723883113336,1.72278781183736,2.07874168696566,0.493940248024708,0.970972376875163
B0005,16,-0.000180429242444439,0.000140192817547732,0.18849314080191,5.07603201918565,3081.25,3.93366790852788,3.58117625131389,6216.922,6.14273676571394,1.72230299747133,2.07843514689488,0.493836858278733,0.970707843230069
B0005,17,-0.0001830900884999,0.000136995027238401,0.184362905077506,5.01481404198032,3081.797,3.93925127663977,3.57995864052821,6288.328,6.14374506734375,1.72316495603594,2.13430099350814,0.507152042461956,0.970962410309146
