SCC,SCV,DVV,ICP,CCDT,CVCT,ACCV C,ACCV D,ECD,ECV,CCD,CCV,SoH
-0.042707,0.014109,0.312794,4.074922,20.007897,10.166708,3.444845,2.757441,182.398356,6.713953,1.093858,0.033469,0.994200
-0.040200,0.014096,0.256839,3.353414,20.008238,9.999983,3.446390,2.755375,182.653469,6.370542,1.095105,0.031837,0.995484
-0.040723,0.013852,0.293468,2.942999,20.008545,9.916772,3.444262,2.752464,182.821330,6.206539,1.095949,0.031032,0.996105
-0.045655,0.014420,0.286743,3.083146,20.008588,9.916717,3.446613,2.747642,182.920079,6.342353,1.096467,0.031545,0.996624
-0.040650,0.014115,0.231263,4.181852,20.008868,9.833320,3.444985,2.753981,182.978213,6.105977,1.096957,0.030489,0.996985
-0.043318,0.013226,0.272482,3.408158,20.008942,9.833410,3.442669,2.753030,183.041594,6.180691,1.097283,0.030716,0.997033
-0.045129,0.014004,0.243629,2.737713,20.009128,9.833570,3.445437,2.755094,183.086716,6.184822,1.097459,0.030730,0.996951
-0.043677,0.013651,0.266498,3.831987,20.009240,9.750110,3.443469,2.773043,183.077356,5.937130,1.097493,0.029613,0.997022
-0.043546,0.013777,0.249192,5.350774,20.009153,9.750087,3.443838,2.745120,183.088079,5.961238,1.097583,0.029709,0.997655
-0.042847,0.013316,0.282219,2.909024,19.994918,9.750153,3.441813,2.742579,182.944884,5.937247,1.097052,0.029617,0.997750
-0.043126,0.013121,0.249402,5.887857,20.009448,9.750150,3.443147,2.751690,183.078955,5.970998,1.097797,0.029699,0.997729
-0.043283,0.007404,0.299097,3.480202,20.012588,9.172888,3.414900,2.750904,182.144941,4.966716,1.094171,0.024667,1.002552
-0.039508,0.014363,0.288232,3.109156,20.016330,10.083497,3.446271,2.731035,182.474436,5.980448,1.095084,0.029749,0.992188
-0.038827,0.013971,0.295980,3.989644,20.011567,9.916808,3.444315,2.761855,182.696441,5.853493,1.096059,0.029185,0.994447
-0.041794,0.014230,0.238409,3.049364,20.013508,9.833477,3.445621,2.769749,182.654417,5.837484,1.096410,0.029112,0.995683
-0.044608,0.013801,0.274160,3.301708,20.015285,9.833288,3.445469,2.766912,182.756471,5.997082,1.096747,0.029760,0.996386
-0.041318,0.013647,0.278958,3.315968,20.007952,9.749955,3.442427,2.772150,182.776632,5.776366,1.097149,0.028791,0.996814
-0.043740,0.013504,0.301978,2.730456,20.002077,9.750168,3.443163,2.748498,182.803009,5.847607,1.097020,0.029103,0.997106
-0.046049,0.013062,0.254369,3.298567,20.008998,9.750025,3.441572,2.759851,182.796633,5.858572,1.094884,0.029127,0.997119
-0.044176,0.012925,0.272262,5.313448,20.009583,9.749892,3.441931,2.762889,182.831125,5.907828,1.097544,0.029341,0.997358
-0.045935,0.013104,0.258349,4.215996,20.009213,9.750002,3.442550,2.745179,182.851301,5.915798,1.096261,0.029371,0.997363
-0.045418,0.013905,0.290417,3.997326,20.009597,9.750178,3.444136,2.766045,182.881938,5.936513,1.097586,0.029481,0.997517
-0.045231,0.014343,0.303683,4.064720,20.009658,9.750045,3.445724,2.762461,182.864552,5.945308,1.097609,0.029545,0.997574
-0.041786,0.013166,0.264742,4.345610,20.009517,9.666833,3.441776,2.753740,182.850704,5.656481,1.097758,0.028230,0.997613
-0.040720,0.013090,0.292647,3.255981,20.009682,9.666747,3.441468,2.760330,182.865439,5.660267,1.097713,0.028219,0.997682
-0.041046,0.013764,0.295091,3.307346,20.009640,9.666688,3.443873,2.758025,182.845340,5.671140,1.097779,0.028256,0.997676
-0.044322,0.013343,0.199819,17.989399,20.009693,9.666805,3.443376,2.766753,182.844011,5.675912,1.097969,0.028249,0.997683
-0.040431,0.013504,0.249426,3.287206,20.009885,9.666695,3.445601,2.763685,182.823375,5.662158,1.097860,0.028270,0.997717
-0.042513,0.013883,0.271396,2.878575,20.009937,9.666760,3.444476,2.760487,182.795778,5.664281,1.097905,0.028261,0.997747
-0.041749,0.012898,0.294438,3.349820,20.009600,9.666735,3.442133,2.753413,182.776354,5.660882,1.097633,0.028162,0.997626
-0.043919,0.013818,0.248886,3.282438,20.009873,9.666632,3.443880,2.756217,182.744496,5.649946,1.097765,0.028138,0.997611
-0.043017,0.013452,0.279989,4.403341,20.010398,9.666910,3.442181,2.762283,182.743314,5.648128,1.097746,0.028146,0.997666
-0.038792,0.012790,0.250796,8.548929,20.009707,9.666713,3.439874,2.745941,182.704333,5.642741,1.097768,0.028124,0.997610
-0.042446,0.013458,0.196114,5.002155,20.009878,9.666682,3.443720,2.746677,182.709808,5.643939,1.097606,0.028116,0.997600
-0.042177,0.013243,0.287946,4.498756,20.009995,9.666635,3.443207,2.765111,182.731281,5.656373,1.097626,0.028163,0.997612
-0.041522,0.013674,0.273835,17.614977,20.009943,9.666803,3.443831,2.754975,182.666478,5.641231,1.097635,0.028111,0.997667
-0.044131,0.013224,0.313029,4.158061,20.010248,9.666645,3.442432,2.767134,182.652127,5.643425,1.097605,0.028123,0.997625
-0.042336,0.013166,0.291412,7.401960,20.010067,9.666767,3.441857,2.759506,182.636537,5.627644,1.097581,0.028045,0.997536
-0.041697,0.013820,0.249034,2.875019,20.010375,9.666538,3.445149,2.758744,182.591629,5.622399,1.097460,0.027982,0.997490
-0.042043,0.013492,0.274923,3.762883,20.010862,9.666873,3.443340,2.760240,182.573795,5.602419,1.097461,0.027951,0.997517
-0.041840,0.013146,0.275726,3.020814,20.009838,9.666698,3.443479,2.753980,182.550424,5.629226,1.097517,0.028005,0.997530
-0.042974,0.013294,0.277199,4.404751,20.009848,9.666712,3.443629,2.748488,182.541784,5.607148,1.097472,0.027950,0.997465
-0.040692,0.013459,0.241722,3.178852,20.010078,9.666873,3.443885,2.764092,182.549016,5.621961,1.097502,0.027963,0.997451
-0.041071,0.013181,0.243327,10.261035,20.010008,9.666840,3.443825,2.759461,182.548849,5.626917,1.097566,0.028020,0.997571
